"col_yeux";"col_cheveux"
"obs1";"LIGHT";"Dark"
"obs2";"DARK";"Dark"
"obs3";"DARK";"Medium"
"obs4";"LIGHT";"Dark"
"obs5";"LIGHT";"Fair"
"obs6";"MEDIUM";"Dark"
"obs7";"LIGHT";"Dark"
"obs8";"DARK";"Medium"
"obs9";"MEDIUM";"Dark"
"obs10";"LIGHT";"Fair"
"obs11";"MEDIUM";"Dark"
"obs12";"MEDIUM";"Medium"
"obs13";"LIGHT";"Medium"
"obs14";"DARK";"Dark"
"obs15";"MEDIUM";"Medium"
"obs16";"MEDIUM";"Dark"
"obs17";"DARK";"Dark"
"obs18";"MEDIUM";"Medium"
"obs19";"MEDIUM";"Fair"
"obs20";"BLUE";"Dark"
"obs21";"DARK";"Medium"
"obs22";"MEDIUM";"Dark"
"obs23";"DARK";"Black"
"obs24";"DARK";"Dark"
"obs25";"MEDIUM";"Medium"
"obs26";"MEDIUM";"Medium"
"obs27";"MEDIUM";"Dark"
"obs28";"LIGHT";"Medium"
"obs29";"DARK";"Dark"
"obs30";"DARK";"Dark"
"obs31";"BLUE";"Dark"
"obs32";"MEDIUM";"Fair"
"obs33";"MEDIUM";"Dark"
"obs34";"MEDIUM";"Dark"
"obs35";"BLUE";"Fair"
"obs36";"MEDIUM";"Dark"
"obs37";"LIGHT";"Fair"
"obs38";"BLUE";"Fair"
"obs39";"DARK";"Red"
"obs40";"MEDIUM";"Dark"
"obs41";"DARK";"Fair"
"obs42";"DARK";"Dark"
"obs43";"MEDIUM";"Fair"
"obs44";"DARK";"Dark"
"obs45";"MEDIUM";"Medium"
"obs46";"DARK";"Medium"
"obs47";"MEDIUM";"Fair"
"obs48";"MEDIUM";"Fair"
"obs49";"BLUE";"Dark"
"obs50";"DARK";"Medium"
"obs51";"LIGHT";"Medium"
"obs52";"MEDIUM";"Fair"
"obs53";"MEDIUM";"Medium"
"obs54";"DARK";"Dark"
"obs55";"LIGHT";"Fair"
"obs56";"BLUE";"Medium"
"obs57";"DARK";"Dark"
"obs58";"MEDIUM";"Dark"
"obs59";"DARK";"Dark"
"obs60";"DARK";"Medium"
"obs61";"DARK";"Dark"
"obs62";"MEDIUM";"Medium"
"obs63";"MEDIUM";"Medium"
"obs64";"DARK";"Medium"
"obs65";"LIGHT";"Medium"
"obs66";"MEDIUM";"Medium"
"obs67";"MEDIUM";"Medium"
"obs68";"MEDIUM";"Dark"
"obs69";"MEDIUM";"Medium"
"obs70";"DARK";"Black"
"obs71";"MEDIUM";"Medium"
"obs72";"MEDIUM";"Fair"
"obs73";"LIGHT";"Medium"
"obs74";"DARK";"Black"
"obs75";"LIGHT";"Fair"
"obs76";"BLUE";"Dark"
"obs77";"DARK";"Dark"
"obs78";"MEDIUM";"Red"
"obs79";"MEDIUM";"Medium"
"obs80";"LIGHT";"Fair"
"obs81";"DARK";"Medium"
"obs82";"MEDIUM";"Dark"
"obs83";"MEDIUM";"Medium"
"obs84";"MEDIUM";"Medium"
"obs85";"BLUE";"Fair"
"obs86";"MEDIUM";"Fair"
"obs87";"BLUE";"Medium"
"obs88";"BLUE";"Medium"
"obs89";"DARK";"Dark"
"obs90";"MEDIUM";"Medium"
"obs91";"MEDIUM";"Fair"
"obs92";"BLUE";"Medium"
"obs93";"LIGHT";"Medium"
"obs94";"DARK";"Dark"
"obs95";"DARK";"Medium"
"obs96";"LIGHT";"Medium"
"obs97";"BLUE";"Medium"
"obs98";"MEDIUM";"Dark"
"obs99";"LIGHT";"Medium"
"obs100";"LIGHT";"Medium"
"obs101";"LIGHT";"Medium"
"obs102";"MEDIUM";"Medium"
"obs103";"LIGHT";"Medium"
"obs104";"LIGHT";"Fair"
"obs105";"BLUE";"Fair"
"obs106";"LIGHT";"Medium"
"obs107";"BLUE";"Fair"
"obs108";"DARK";"Medium"
"obs109";"BLUE";"Medium"
"obs110";"MEDIUM";"Medium"
"obs111";"MEDIUM";"Medium"
"obs112";"MEDIUM";"Medium"
"obs113";"DARK";"Dark"
"obs114";"MEDIUM";"Medium"
"obs115";"MEDIUM";"Medium"
"obs116";"LIGHT";"Medium"
"obs117";"MEDIUM";"Dark"
"obs118";"LIGHT";"Fair"
"obs119";"DARK";"Red"
"obs120";"BLUE";"Medium"
"obs121";"DARK";"Medium"
"obs122";"LIGHT";"Fair"
"obs123";"MEDIUM";"Dark"
"obs124";"BLUE";"Fair"
"obs125";"MEDIUM";"Medium"
"obs126";"LIGHT";"Medium"
"obs127";"BLUE";"Fair"
"obs128";"LIGHT";"Fair"
"obs129";"BLUE";"Fair"
"obs130";"DARK";"Dark"
"obs131";"MEDIUM";"Dark"
"obs132";"MEDIUM";"Fair"
"obs133";"BLUE";"Dark"
"obs134";"MEDIUM";"Red"
"obs135";"MEDIUM";"Medium"
"obs136";"LIGHT";"Fair"
"obs137";"DARK";"Medium"
"obs138";"MEDIUM";"Fair"
"obs139";"LIGHT";"Fair"
"obs140";"MEDIUM";"Medium"
"obs141";"MEDIUM";"Medium"
"obs142";"LIGHT";"Fair"
"obs143";"DARK";"Dark"
"obs144";"LIGHT";"Medium"
"obs145";"LIGHT";"Medium"
"obs146";"MEDIUM";"Dark"
"obs147";"DARK";"Fair"
"obs148";"LIGHT";"Medium"
"obs149";"LIGHT";"Fair"
"obs150";"DARK";"Dark"
"obs151";"MEDIUM";"Medium"
"obs152";"MEDIUM";"Medium"
"obs153";"DARK";"Red"
"obs154";"DARK";"Dark"
"obs155";"DARK";"Medium"
"obs156";"LIGHT";"Medium"
"obs157";"LIGHT";"Medium"
"obs158";"MEDIUM";"Black"
"obs159";"BLUE";"Red"
"obs160";"LIGHT";"Fair"
"obs161";"DARK";"Medium"
"obs162";"LIGHT";"Dark"
"obs163";"DARK";"Dark"
"obs164";"MEDIUM";"Medium"
"obs165";"LIGHT";"Dark"
"obs166";"LIGHT";"Medium"
"obs167";"LIGHT";"Fair"
"obs168";"BLUE";"Fair"
"obs169";"MEDIUM";"Dark"
"obs170";"LIGHT";"Fair"
"obs171";"LIGHT";"Dark"
"obs172";"DARK";"Dark"
"obs173";"MEDIUM";"Fair"
"obs174";"LIGHT";"Fair"
"obs175";"LIGHT";"Dark"
"obs176";"DARK";"Medium"
"obs177";"MEDIUM";"Medium"
"obs178";"DARK";"Medium"
"obs179";"DARK";"Fair"
"obs180";"MEDIUM";"Medium"
"obs181";"MEDIUM";"Medium"
"obs182";"MEDIUM";"Black"
"obs183";"MEDIUM";"Medium"
"obs184";"DARK";"Dark"
"obs185";"DARK";"Dark"
"obs186";"LIGHT";"Medium"
"obs187";"DARK";"Medium"
"obs188";"MEDIUM";"Black"
"obs189";"MEDIUM";"Medium"
"obs190";"LIGHT";"Fair"
"obs191";"LIGHT";"Fair"
"obs192";"MEDIUM";"Dark"
"obs193";"MEDIUM";"Medium"
"obs194";"MEDIUM";"Medium"
"obs195";"DARK";"Dark"
"obs196";"LIGHT";"Red"
"obs197";"LIGHT";"Medium"
"obs198";"MEDIUM";"Dark"
"obs199";"MEDIUM";"Dark"
"obs200";"LIGHT";"Fair"
"obs201";"MEDIUM";"Red"
"obs202";"LIGHT";"Fair"
"obs203";"BLUE";"Fair"
"obs204";"LIGHT";"Medium"
"obs205";"LIGHT";"Medium"
"obs206";"LIGHT";"Red"
"obs207";"LIGHT";"Medium"
"obs208";"LIGHT";"Red"
"obs209";"MEDIUM";"Medium"
"obs210";"MEDIUM";"Medium"
"obs211";"BLUE";"Medium"
"obs212";"LIGHT";"Fair"
"obs213";"DARK";"Medium"
"obs214";"LIGHT";"Medium"
"obs215";"MEDIUM";"Medium"
"obs216";"LIGHT";"Medium"
"obs217";"MEDIUM";"Medium"
"obs218";"MEDIUM";"Fair"
"obs219";"BLUE";"Medium"
"obs220";"BLUE";"Dark"
"obs221";"MEDIUM";"Medium"
"obs222";"LIGHT";"Red"
